DBAName,Zip Code,Timezone
Oriole Park at Camden Yards,21201,EST
Fenway Park,02215,EST
Guaranteed Rate Field,60616,CST
Progressive Field,44115,EST
Comerica Park,48201,EST
Minute Maid Park,77002,CST
Kauffman Stadium,64129,CST
Angel Stadium,92806,PST
Target Field,55403,CST
Yankee Stadium,10451,EST
Oakland Coliseum,94621,PST
T-Mobile Park,98134,PST
Tropicana Field,33705,EST
Globe Life Field,76011,CST
Rogers Centre,M5V 1J1,EST
Chase Field,85004,MST
Truist Park,30339,EST
Wrigley Field,60613,CST
Great American Ball Park,45202,EST
Coors Field,80205,MST
Dodger Stadium,90012,PST
LoanDepot Park,33125,EST
American Family Field,53214,CST
Citi Field,11368,EST
Citizens Bank Park,19148,EST
PNC Park,15212,EST
Petco Park,92101,PST
Oracle Park,94107,PST
Busch Stadium,63102,CST
Nationals Park,20003,EST
Aloha Stadium,96701,HAST
